"","Sub Metal Genre","Release Year","BPM","Energy","Dance","Loud","Valence","Acoustic","Popularity"
"1","Thrash Metal",1981,134,97,18,-10,4,0,29
"2","Metalcore",2001,119,81,21,-6,11,0,27
"3","Alternative Metal",1992,125,55,51,-7,38,34,55
"4","Alternative Metal",1994,160,84,58,-6,68,0,41
"5","Grindcore",1988,102,84,34,-12,34,0,9
"6","Prog Metal",1988,89,28,54,-22,6,74,31
"7","Thrash Metal",1992,183,95,29,-5,33,0,39
"8","Stoner Rock",1992,177,51,24,-14,41,1,33
"9","Post Metal",2002,118,60,42,-7,43,0,12
"10","Death Metal",1995,128,30,50,-22,27,76,26
"11","Power Metal",2004,115,88,33,-5,41,0,0
"12","Power Metal",2004,159,94,42,-6,50,0,0
"13","Sludge Metal",1993,127,66,25,-9,10,0,20
"14","Rap Metal",1992,160,85,27,-7,40,0,37
"15","Speed Metal",1986,98,100,42,-4,12,0,35
"16","Heavy Metal",1972,150,50,35,-12,60,0,34
"17","Death Metal",1993,104,98,29,-6,15,0,12
"18","Industrial Metal",1992,100,84,14,-9,5,0,23
"19","New Wave of British Heavy Metal",1980,93,93,22,-5,34,0,0
"20","Industrial Metal",1992,148,94,48,-8,63,0,29
"21","Metalcore",2001,153,99,18,-4,15,0,26
"22","Sludge Metal",2005,184,97,7,-4,11,0,18
"23","Thrash Metal",1983,159,97,21,-5,11,0,42
"24","Thrash Metal",1992,185,95,45,-5,63,0,41
"25","Thrash Metal",1984,146,97,35,-5,48,6,20
"26","Thrash Metal",1984,135,95,38,-5,27,0,57
"27","Heavy Metal",1980,96,68,31,-7,12,38,38
"28","Alternative Metal",1988,129,93,67,-4,89,3,31
"29","Death Metal",1993,119,39,34,-22,8,52,13
"30","Thrash Metal",1988,83,88,16,-14,34,0,14
"31","Hair Metal",1983,140,96,57,-6,55,1,52
"32","Black Metal",1984,185,76,27,-7,25,0,27
"33","Alternative Metal",2003,69,17,26,-12,7,90,57
"34","Sludge Metal",1993,122,60,27,-7,23,0,16
"35","New Wave of British Heavy Metal",1982,80,64,8,-7,24,0,41
"36","Groove Metal",1994,112,97,52,-5,15,2,33
"37","Heavy Metal",1983,117,95,51,-6,61,0,60
"38","Thrash Metal",1984,168,92,30,-11,27,2,21
"39","Black Metal",1987,108,86,38,-7,15,0,0
"40","Grindcore",2004,141,100,19,-2,3,0,22
"41","Speed Metal",1986,111,100,48,-4,8,0,35
"42","Hard Rock",1980,120,42,64,-13,54,74,34
"43","Speed Metal",1990,109,100,30,-4,10,0,32
"44","Heavy Metal",1970,125,49,36,-13,28,43,49
"45","Nu Metal",2001,160,94,45,-4,80,1,59
"46","Speed Metal",1988,104,99,36,-4,48,0,38
"47","Post Metal",2002,113,47,53,-13,77,60,9
"48","Alternative Metal",1992,95,90,58,-8,59,0,34
"49","Nu Metal",1994,98,92,38,-7,16,0,42
"50","Alternative Metal",1988,92,92,50,-3,54,0,61
"51","Death Metal",1995,122,97,19,-11,53,0,27
"52","Sludge Metal",1993,125,67,28,-7,45,0,18
"53","New Wave of British Heavy Metal",1980,98,69,26,-8,55,0,0
"54","Thrash Metal",1981,146,92,13,-11,3,0,33
"55","Hair Metal",1983,117,91,51,-6,62,3,50
"56","Prog Metal",1988,117,98,22,-3,9,0,17
"57","Thrash Metal",1987,100,100,28,-9,11,0,33
"58","Stoner Rock",1992,125,60,29,-16,19,14,40
"59","Prog Metal",2005,112,92,32,-3,17,0,40
"60","Thrash Metal",1986,90,94,26,-7,43,0,3
"61","Gothic Metal",1993,95,70,36,-9,41,4,42
"62","Rap Metal",1992,122,70,80,-9,72,1,35
"63","Prog Metal",1999,87,95,23,-5,25,0,25
"64","Prog Metal",1991,93,96,34,-6,36,0,35
"65","Death Metal",1995,151,95,21,-12,18,0,29
"66","Black Metal",1997,141,94,14,-4,4,0,0
"67","Gothic Metal",1993,116,75,30,-7,18,1,31
"68","Black Metal",1987,138,99,27,-6,4,0,0
"69","Post Metal",1996,127,86,27,-10,10,0,27
"70","Heavy Metal",1988,145,80,35,-10,23,0,40
"71","Heavy Metal",1975,138,61,30,-11,60,0,34
"72","Grindcore",1988,107,74,30,-15,26,0,10
"73","Black Metal",1987,129,82,37,-9,4,0,0
"74","Alternative Metal",1988,107,96,47,-4,88,0,24
"75","Heavy Metal",1981,125,94,32,-6,53,0,51
"76","Stoner Rock",1992,181,95,34,-9,59,0,53
"77","Thrash Metal",1990,125,99,33,-4,22,0,64
"78","Thrash Metal",1986,168,97,17,-3,24,0,33
"79","Groove Metal",1992,97,91,33,-11,50,0,48
"80","Heavy Metal",1982,98,42,44,-12,31,2,45
"81","Heavy Metal",2005,175,96,33,-3,33,0,53
"82","Heavy Metal",2013,157,96,17,-5,7,0,23
"83","Prog Metal",2001,132,26,63,-18,46,94,33
"84","Industrial Metal",1989,127,63,24,-16,4,0,15
"85","Thrash Metal",1991,139,60,54,-10,25,1,15
"86","Groove Metal",1994,102,97,30,-5,20,0,33
"87","New Wave of British Heavy Metal",1980,113,97,40,-5,63,18,0
"88","Thrash Metal",1986,139,85,38,-8,54,0,0
"89","Death Metal",1990,173,96,12,-7,19,0,21
"90","Thrash Metal",1986,177,96,17,-4,15,0,32
"91","Sludge Metal",2007,102,85,52,-7,40,0,38
"92","Post Metal",2002,120,65,40,-7,8,0,12
"93","Alternative Metal",1988,117,99,46,-4,39,5,19
"94","Grindcore",1988,111,69,39,-14,17,0,9
"95","Heavy Metal",1972,117,75,44,-12,60,0,47
"96","Black Metal",1997,127,81,16,-4,3,0,0
"97","Nu Metal",2001,108,99,40,-4,19,0,47
"98","Hair Metal",1984,131,99,36,-3,27,0,40
"99","Prog Metal",1988,123,74,47,-5,61,29,17
"100","Death Metal",1990,131,98,23,-6,17,0,25
